x1,x2,x3,x4,ks,cs,u
-0.172039022,-1.997791396,0.456720184,-1.4731642,38874.57029,2187.070534,829.0113575
0.047150997,-1.248681379,-0.359363979,0.683781669,33351.57374,2288.12102,-749.3675031
0.176499389,2.108919743,0.299308604,2.381711818,23530.08966,1757.067495,-965.9450942
-0.057061732,-1.692314275,0.368525044,0.408806898,30776.03448,1174.398624,-28.66926294
0.170108708,-0.610888653,-0.285681138,1.711783476,34005.615,2942.843268,-157.4109186
0.023422848,2.434454107,0.00114784,1.782622888,12928.91205,1261.030986,-1000
0.165940494,1.709220162,-0.413899323,2.374879466,38959.12752,821.5927303,-1000
0.099148633,-2.138403145,-0.305943226,-1.950679661,29512.59968,1905.970929,1000
0.012243606,1.190114495,-0.361427043,-2.129348685,36177.62044,794.4302314,1000
0.205374021,0.341938164,-0.357900708,0.200654201,24748.40111,947.6497183,200.6687204
0.013624767,0.619830051,-0.269428039,-0.936142956,38230.41557,2160.840423,365.1366651
0.107951003,-2.492440165,0.12104366,1.472108594,27400.03856,839.6382385,-1000
-0.015897325,1.730160384,0.482095795,-2.126329594,29483.91625,2655.79275,1000
-0.213110097,0.991393493,0.022426677,-1.457963751,18732.90197,2444.656038,-237.2510485
0.012042281,-0.686579917,-0.486803914,1.001288295,29666.19213,993.8763049,-1000
0.161918094,1.660810441,0.038050199,2.01915715,14822.8087,2043.411956,-985.0438633
-0.020797505,0.225912702,0.408635956,2.317745265,11939.80523,2398.893041,-1000
0.107237351,0.131169672,0.351011229,1.205154074,34424.45212,2409.841167,431.6708541
-0.164481101,-0.057726141,0.125899728,-1.688017133,36683.26634,2116.546694,422.5964299
0.155135224,0.686000329,0.400848753,-1.679379919,16541.6186,2397.332728,1000
-0.2033809,-1.478057747,-0.412476125,2.011852492,20070.57947,2970.117467,-1000
-0.121824099,-0.366899318,0.043167374,0.83935132,14664.47014,2505.830368,-1000
0.07667695,1.233380974,-0.26863478,1.996610887,18423.27217,1579.691924,-1000
-0.158587526,-0.55786921,0.492099028,-0.980713396,31129.05072,1332.835576,1000
0.14371839,-1.533142094,0.295986412,0.879950787,32923.77553,598.4614854,244.3533376
0.192925388,-0.426403479,0.067267941,1.751391547,31992.45204,577.0936911,-1000
-0.212565857,1.921266528,-0.209574644,1.281831846,34787.17504,1367.133947,-1000
-0.032235518,-1.872620371,-0.180245363,0.557794604,29539.68716,1682.41573,-1000
0.048050158,-0.326668232,-0.0518989,0.382210614,13579.57745,1217.1046,-276.6313365
-0.175709239,0.31883687,-0.230392084,-1.830765775,23795.98051,878.9264391,1000
-0.091798533,-1.735123985,0.34236724,0.320604215,15978.19433,2853.58706,-955.2083761
0.055237096,-1.74708571,-0.490052534,2.044781488,39301.68917,1322.866243,-1000
-0.244856027,-2.065184674,-0.18561799,0.85327879,17602.80546,2945.328918,-1000
-0.159401298,-0.075172777,-0.187666766,1.060331707,38640.80269,2530.673632,-1000
-0.094472283,2.367402772,-0.152274609,1.080921757,25444.36087,728.8017444,-1000
0.145414689,1.785542284,-0.496297141,1.809146973,36826.46929,2764.896274,-881.4426489
-0.092053163,-1.999678036,0.117363832,-0.240008492,39266.39075,2254.634836,-287.0567622
-0.14795961,-0.597295763,-0.196793544,1.511279748,37055.35955,1978.096212,-1000
-0.206606692,-0.875282823,-0.340741504,2.191005687,22701.64086,1500.286234,-1000
0.16124022,0.171079655,0.304096791,-1.90166711,11326.38132,2458.067391,1000
0.104535651,0.639301636,-0.016419567,-0.338311519,15478.90504,823.1442372,769.6381844
-0.153291286,-0.239080982,-0.448163834,-0.862178696,27485.53674,643.9610456,-562.0558969
-0.122781261,-1.738055727,0.234418893,1.704676915,39524.29851,2943.510696,-1000
0.024814714,-1.149818893,0.106305352,-1.933759374,19616.3114,675.0126209,1000
-0.104454871,1.073522425,0.233285353,1.837478715,15488.62296,757.8099511,-1000
-0.212126178,-1.760833779,-0.339996941,-1.074169363,26588.65874,1371.690995,-654.2967991
0.169212521,-1.868917717,-0.145074592,-1.459535827,23819.8615,2125.800983,1000
-0.134751899,0.157468711,0.276764292,0.402885998,14352.37253,1756.616521,-1000
-0.052689617,-2.013548628,-0.291720599,-2.010163068,10955.74598,1725.00571,1000
0.107153704,1.364865311,-0.09697919,2.37289193,31395.71876,1526.422026,-1000
0.011021359,-0.27888414,-0.465893053,-2.316344791,39078.14422,1090.758799,1000
0.142409604,1.685107401,0.107685746,1.350517024,29444.66084,2809.15237,231.0325888
-0.039413256,-2.105902366,0.483524195,2.306866873,31145.32349,1510.505925,-1000
-0.180011745,1.456576155,0.341134834,1.158349954,11030.72853,1013.546818,-1000
0.138451861,0.975229532,0.318193994,2.176985355,35410.24635,2332.146175,-153.2832149
0.241142851,-1.542340214,0.29732917,-0.072397876,12305.75827,1883.499314,1000
0.210125697,-0.968875494,-0.324411973,1.095831527,20536.27728,953.206774,-863.8543239
0.220132193,-2.252539058,0.108867855,2.453017528,39774.26955,1436.683676,-717.4109743
-0.0796064,-1.04554344,-0.350628092,1.526833537,17213.41896,2184.394351,-1000
0.245307053,0.795541251,-0.455881642,1.336258227,18683.74349,1034.393808,-1000
-0.13813227,-0.332636839,0.154830451,-0.043758645,12369.6454,601.4175295,138.7523611
-0.125008825,1.26132832,0.434248857,-1.304678629,10640.49833,2325.628447,-23.7525891
0.12519998,-0.08751015,0.110281581,1.18134501,30210.02353,2678.371858,212.4621373
0.002890989,1.369365324,0.478498909,-0.170047332,35990.04735,1234.756513,1000
-0.04996375,1.871845227,-0.17221798,-2.069371322,35631.35301,2014.156896,1000
-0.110310529,-2.219330069,-0.495032636,1.604329384,22092.43703,2377.822173,-1000
-0.06415378,-0.782564823,0.091179782,1.679336177,20889.98193,1374.46372,-1000
0.239811515,-1.607043186,0.203498942,0.885805728,36727.94438,1389.824047,1000
0.195942929,-1.013495773,0.363626516,0.352887187,39169.73802,1379.28095,1000
0.027597092,-0.805352938,0.098916155,1.375558208,26124.65298,929.7610959,-1000
