selected_flags,tire_friction,gear_ratio,predicted_speed_ms,predicted_time,profile_summary
"steep_elevation, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"steep_elevation, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"steep_elevation, narrow_lanes, wide_multi_lane",3.0,6.0,24.723004271615803,35.390822378061685,"Route Type: elevation, Length: 875.0m"
"high_speed_sections, tight_curves, long_straightaways",1.0,6.0,24.73336242383214,37.622605497595764,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, tight_curves, narrow_lanes",2.0,6.0,9.864085612562823,93.15232106409049,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, tight_curves, wide_multi_lane",1.0,4.0,10.191608434043717,90.15872969724676,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, narrow_lanes, wide_multi_lane",1.0,6.0,21.900795177871878,41.95566702132934,"Route Type: straight_speed, Length: 918.9m"
"tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.172837304317788,38.42587687541391,"Route Type: straight_speed, Length: 928.9m"
"tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.10421522640825,35.58285364753838,"Route Type: straight_speed, Length: 928.9m"
"tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,10.516616920091447,87.52156748707678,"Route Type: tight_curves, Length: 920.4m"
"long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves",0.5,6.0,13.900646429712223,64.02345799735873,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways",0.5,6.0,24.883905598287875,36.76944719207459,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, narrow_lanes",3.0,6.0,22.36154145994712,39.799020761734184,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, wide_multi_lane",2.0,6.0,23.705022709559998,37.54341279200295,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways",0.5,6.0,25.001231958503453,35.99692424447576,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, tight_curves, narrow_lanes",0.5,6.0,13.739504683929486,63.68260522900999,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, tight_curves, wide_multi_lane",0.5,6.0,15.731901256024203,55.617400502928064,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, narrow_lanes, wide_multi_lane",3.0,6.0,21.49351245664127,40.70844421515011,"Route Type: elevation, Length: 875.0m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways",1.0,6.0,24.73336242383214,37.622605497595764,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, tight_curves, narrow_lanes",2.0,6.0,9.864085612562823,93.15232106409049,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, tight_curves, wide_multi_lane",1.0,4.0,10.191608434043717,90.15872969724676,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, narrow_lanes, wide_multi_lane",1.0,6.0,21.900795177871878,41.95566702132934,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.172837304317788,38.42587687541391,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.10421522640825,35.58285364753838,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,10.516616920091447,87.52156748707678,"Route Type: tight_curves, Length: 920.4m"
"intersections_90, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
"steep_elevation, high_speed_sections, tight_curves, long_straightaways",0.5,6.0,24.883905598287875,36.76944719207459,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, tight_curves, narrow_lanes",0.5,6.0,13.230892506828193,67.2643551725268,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, tight_curves, wide_multi_lane",0.5,6.0,15.279608665645709,58.245434965215814,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, narrow_lanes, wide_multi_lane",3.0,6.0,23.275157925213744,38.236795457560454,"Route Type: elevation, Length: 890.0m"
"steep_elevation, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"steep_elevation, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"steep_elevation, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,15.187149611116668,57.61235486798376,"Route Type: elevation, Length: 875.0m"
"steep_elevation, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"high_speed_sections, tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",2.0,6.0,10.09384832842379,91.03192757490275,"Route Type: straight_speed, Length: 918.9m"
"high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways",0.5,6.0,24.883905598287875,36.76944719207459,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, narrow_lanes",0.5,6.0,13.230892506828193,67.2643551725268,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, wide_multi_lane",0.5,6.0,15.279608665645709,58.245434965215814,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, narrow_lanes, wide_multi_lane",3.0,6.0,23.275157925213744,38.236795457560454,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.618107253849367,36.557134289359034,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.985060525399142,34.634033349629505,"Route Type: elevation, Length: 900.0m"
"intersections_90, steep_elevation, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,15.187149611116668,57.61235486798376,"Route Type: elevation, Length: 875.0m"
"intersections_90, steep_elevation, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways, narrow_lanes",1.0,6.0,24.09731259607316,38.61565613970302,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",1.0,6.0,26.028691251847732,35.750300623925476,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",2.0,6.0,10.09384832842379,91.03192757490275,"Route Type: straight_speed, Length: 918.9m"
"intersections_90, high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.487434144339716,36.44393800979809,"Route Type: straight_speed, Length: 928.9m"
