total_length,avg_curvature,max_curvature,std_curvature,tight_corners_pct,straight_pct,avg_slope,max_slope,elevation_range,max_elevation,min_elevation,gear_ratio,tire_friction,avg_speed_ms,rt_elevation,rt_mixed,rt_straight_speed,rt_tight_curves,rt_tire_friction_test
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-1.1787405010342664,-1.1704841243393815,-0.7261187354334296,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-1.1787405010342664,-0.6491419753701942,-0.7261187354334296,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-1.1787405010342664,0.3935423225681803,-0.7261187354334296,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-1.1787405010342664,1.4362266205065548,-0.7261187354334296,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-0.5882213806330842,-1.1704841243393815,-0.24919016642177155,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-0.5882213806330842,-0.6491419753701942,-0.24919016642177155,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-0.5882213806330842,0.3935423225681803,-0.24919016642177155,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-0.5882213806330842,1.4362266205065548,-0.24919016642177155,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,0.29755729996868907,-1.1704841243393815,-0.1956882657994909,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,0.29755729996868907,-0.6491419753701942,-0.1956882657994909,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,0.29755729996868907,0.3935423225681803,-0.1956882657994909,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,0.29755729996868907,1.4362266205065548,-0.1956882657994909,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,1.4785955407710534,-1.1704841243393815,-0.17172969558507503,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,1.4785955407710534,-0.6491419753701942,-0.17172969558507503,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,1.4785955407710534,0.3935423225681803,-0.17172969558507503,0.0,0.0,1.0,0.0,0.0
-0.3444178340761654,-0.0766916626573731,1.0173460215012053,0.8491167325864937,-0.14563565662777214,0.8656430538593114,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,1.4785955407710534,1.4362266205065548,-0.17172969558507503,0.0,0.0,1.0,0.0,0.0
0.8107189666642627,-0.2024053796538942,0.19408948517848815,0.32546286841551786,0.4129966381981694,0.5596316854386207,-0.6801180782641992,-0.6871500889049575,-0.6757466027530858,-0.6757466027530858,0.0,-1.1787405010342664,-1.1704841243393815,-0.7878245042981599,0.0,0.0,1.0,0.0,0.0
