track_id,map_name,route_type,gear_ratio,tire_friction,travel_time,collision_count,avg_speed_ms,max_speed_ms,min_speed_ms,speed_std,avg_speed_kmh,max_speed_kmh,actual_distance_m,stop_count,avg_lateral_accel,max_lateral_accel,avg_longitudinal_accel,max_longitudinal_accel,smoothness,avg_lateral_offset,max_lateral_offset,avg_steering,max_steering,total_length,elevation_range,max_elevation,min_elevation,avg_curvature,max_curvature,std_curvature,avg_slope,max_slope,tight_corners_pct,straight_pct
0,Town01,straight_speed,1.5,0.5,84.10000125318766,0,9.009030477083297,10.451734585517254,1.6370642991107411,1.973488701895726,32.43250971749987,37.62624450786212,757.142713722347,0,50.923783234482784,724.8411599412027,0.9048724602831052,12.74322256053555,0.40167358690285254,36.09912039081989,127.45938110351562,0.03800849850204323,0.7149097919464111,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,1.5,1.0,84.10000125318766,0,9.009030477083297,10.451734585517254,1.6370642991107411,1.973488701895726,32.43250971749987,37.62624450786212,757.142713722347,0,50.923783234482784,724.8411599412027,0.9048724602831052,12.74322256053555,0.40167358690285254,36.09912039081989,127.45938110351562,0.03800849850204323,0.7149097919464111,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,1.5,2.0,84.10000125318766,0,9.009030477083297,10.451734585517254,1.6370642991107411,1.973488701895726,32.43250971749987,37.62624450786212,757.142713722347,0,50.923783234482784,724.8411599412027,0.9048724602831052,12.74322256053555,0.40167358690285254,36.09912039081989,127.45938110351562,0.03800849850204323,0.7149097919464111,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,1.5,3.0,84.10000125318766,0,9.009030477083297,10.451734585517254,1.6370642991107411,1.973488701895726,32.43250971749987,37.62624450786212,757.142713722347,0,50.923783234482784,724.8411599412027,0.9048724602831052,12.74322256053555,0.40167358690285254,36.09912039081989,127.45938110351562,0.03800849850204323,0.7149097919464111,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,2.5,0.5,64.15000095590949,0,11.810699705603643,18.069130234081594,2.1116510780882964,4.964922956354951,42.51851894017312,65.04886884269374,757.008754522656,0,79.55206555822176,1123.4434365641368,2.118751422188661,9.297943168387341,0.25451921090036833,35.33926208833772,127.46012115478516,0.04376829985466871,0.7213975191116333,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,2.5,1.0,64.15000095590949,0,11.810699705603643,18.069130234081594,2.1116510780882964,4.964922956354951,42.51851894017312,65.04886884269374,757.008754522656,0,79.55206555822176,1123.4434365641368,2.118751422188661,9.297943168387341,0.25451921090036833,35.33926208833772,127.46012115478516,0.04376829985466871,0.7213975191116333,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,2.5,2.0,64.15000095590949,0,11.810699705603643,18.069130234081594,2.1116510780882964,4.964922956354951,42.51851894017312,65.04886884269374,757.008754522656,0,79.55206555822176,1123.4434365641368,2.118751422188661,9.297943168387341,0.25451921090036833,35.33926208833772,127.46012115478516,0.04376829985466871,0.7213975191116333,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,2.5,3.0,64.15000095590949,0,11.810699705603643,18.069130234081594,2.1116510780882964,4.964922956354951,42.51851894017312,65.04886884269374,757.008754522656,0,79.55206555822176,1123.4434365641368,2.118751422188661,9.297943168387341,0.25451921090036833,35.33926208833772,127.46012115478516,0.04376829985466871,0.7213975191116333,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,4.0,0.5,62.55000093206763,0,12.124991275411308,20.529117719913007,2.035919487840853,5.605288605505842,43.64996859148071,73.90482379168682,757.72465230012,0,83.34099246813338,1122.644496649324,2.5126287743229403,10.070724755803653,0.23157761447897648,35.06235856666891,127.46076202392578,0.045032211417560704,0.7363842725753784,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,4.0,1.0,62.55000093206763,0,12.124991275411308,20.529117719913007,2.035919487840853,5.605288605505842,43.64996859148071,73.90482379168682,757.72465230012,0,83.34099246813338,1122.644496649324,2.5126287743229403,10.070724755803653,0.23157761447897648,35.06235856666891,127.46076202392578,0.045032211417560704,0.7363842725753784,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
0,Town01,straight_speed,4.0,2.0,62.55000093206763,0,12.124991275411308,20.529117719913007,2.035919487840853,5.605288605505842,43.64996859148071,73.90482379168682,757.72465230012,0,83.34099246813338,1122.644496649324,2.5126287743229403,10.070724755803653,0.23157761447897648,35.06235856666891,127.46076202392578,0.045032211417560704,0.7363842725753784,890.3079238512682,0.0,0.0,0.0,0.0090062168904509,0.04293477883349045,0.0159558666579908,0.0,0.0,0.2,0.75
